time_on_site,clicks,sentiment,recency,frequency,monetary,satisfaction,engagement_score,experience_score,buying_score,engagement_level,experience_level,buying_level
16.37608278,10,-0.28835246,18.73485793,8,210.9679513,4.413938059,41.47760831,48.03791524,41.47760831,Medium,High,Medium
8.975047987,14,-0.466759683,15.3461408,4,195.4619181,3.857837617,45.66482707,44.83748292,45.02824443,High,Medium,High
17.06269011,10,0.556272907,8.57469509,4,205.8354034,2.275588026,41.47760831,46.18546955,41.47760831,Medium,High,Medium
4.191252256,15,0.462135987,10.48815204,5,214.3294638,4.251331193,39.4829949,55.05720042,39.4829949,Medium,High,Medium
6.94509544,15,-0.772194098,12.26578601,6,201.1866925,4.065394415,45.81520166,34.22782181,41.1926896,High,Medium,Medium
9.020877792,12,0.47979768,15.05606141,4,203.9700103,2.623735714,43.78985806,48.94442178,43.78985806,Medium,High,Medium
10.65105584,18,0.855604474,24.28955847,3,180.6457762,4.064146524,48.33601186,66.74578125,48.33601186,High,High,High
7.809252727,19,0.770335616,6.713907474,2,174.0600828,4.256836637,47.12938986,63.95535733,47.12938986,High,High,High
9.167925958,16,-0.932411498,26.77427593,5,198.8430084,3.820754641,47.1669891,23.50375785,40.85905872,High,Low,Medium
8.686871562,11,0.84904269,3.394441337,9,197.4360688,1.238387569,42.69366364,29.62156382,39.2329181,Medium,Low,Medium
14.67242036,17,0.797474813,3.828882823,5,202.7184531,3.732430747,47.79142638,59.38519671,47.79142638,High,High,High
6.575362904,14,0.929542896,5.718046651,8,221.6906631,2.675241601,45.16601522,39.13689392,45.16601522,High,Medium,High
1.257606561,9,0.116297854,4.846456739,2,205.3285616,3.708706854,26.54701067,50.32857328,26.54701067,Low,High,Low
10.13211548,10,-0.626664682,22.64525946,6,218.3682937,4.599408223,41.47760831,40.33491303,40.96308636,Medium,Medium,Medium
19.91269813,18,-0.75825887,9.858802912,5,174.3012637,2.04790008,47.32612214,34.92562383,38.03459914,High,Medium,Medium
3.054655318,18,-0.018583308,7.866705502,8,190.7444231,4.863185293,35.54302917,49.99076882,35.54302917,Medium,High,Medium
14.9090114,14,0.089151664,10.75156705,2,190.1956358,2.393071467,45.66482707,48.00566546,45.66482707,High,High,High
14.5226121,13,-0.774836234,5.952999252,4,177.5158338,3.967463634,44.77728608,34.09216818,40.79548872,Medium,Medium,Medium
4.431747198,15,-0.973486277,24.50505624,2,183.3940048,1.811665407,40.19611854,19.58598448,37.54083042,Medium,Low,Medium
2.062521205,15,-0.659046291,17.65584449,3,180.0971762,2.480433157,31.111782,39.17620504,31.111782,Medium,Medium,Medium
13.12610138,13,-0.141888977,8.389811055,4,216.5031506,3.463253315,44.77728608,49.51488851,44.77728608,Medium,High,Medium
12.96915343,13,-0.19626125,29.98952759,7,181.6767353,3.968784847,44.77728608,49.08113882,44.77728608,Medium,High,Medium
4.006060162,16,-0.720853154,27.57607457,3,179.503028,1.217203368,38.90781482,35.31926067,36.92796782,Medium,Medium,Medium
3.128611883,14,-0.432901112,20.74726945,4,186.2055688,1.865457116,35.83188949,43.38413952,35.83188949,Medium,Medium,Medium
5.549556671,15,0.252136147,8.816492906,5,171.9110459,1.329345291,43.06897611,41.66492324,39.66022548,Medium,Medium,Medium
5.780323708,21,-0.367631466,1.044942487,8,196.4840129,1.327007168,43.58192593,41.11672232,39.88631336,Medium,Medium,Medium
2.726405049,15,-0.877397978,15.66350149,8,212.1143981,2.804423304,34.19683285,27.86226998,33.44206018,Medium,Low,Medium
6.548399913,20,-0.056861562,23.18083538,3,215.8304396,3.131095657,45.11680342,49.91931903,45.11680342,High,High,High
4.410754498,11,-0.230765572,9.795084684,4,221.5757795,3.968254391,40.13536717,48.73557139,40.13536717,Medium,High,Medium
8.917093236,12,0.555486493,26.15324291,2,165.0094154,3.207430611,43.78985806,50.37450861,43.78985806,Medium,High,Medium
7.225932242,8,-0.99247705,23.36497162,3,244.2062731,1.952560683,38.62709366,17.53247719,36.48802946,Medium,Low,Medium
9.099071623,14,-0.203583632,26.60216682,4,170.4327827,1.79687675,45.66482707,43.82298032,42.93282369,High,Medium,Medium
5.162434428,17,0.922798026,16.23553147,1,188.6196167,1.282943023,42.14988207,24.59720137,39.06512425,Medium,Low,Medium
6.030014821,13,-0.46625776,18.30356631,6,177.7967415,1.322560771,44.10903887,40.38705277,40.09454475,Medium,Medium,Medium
4.639226028,21,0.467380854,9.307515564,4,248.2966479,1.260868896,40.78230826,40.2156839,38.23402961,Medium,Medium,Medium
2.509869367,10,0.994514061,20.31141775,4,190.1546364,2.827424443,33.24749209,27.12062044,33.24749209,Medium,Low,Medium
2.694255295,14,0.95210068,1.133697463,8,164.8085553,2.878894855,34.05901261,46.51288851,34.05901261,Medium,High,Medium
9.252266791,17,0.247786303,5.299296988,3,190.0422822,3.681764281,47.79142638,51.45454,47.79142638,High,High,High
10.49491217,19,0.485579589,13.71020154,4,237.5773417,3.348391764,48.80292004,50.91896284,48.80292004,High,High,High
7.838474344,15,0.960908991,26.70434698,5,193.014443,3.268604258,46.45954467,64.58973291,46.45954467,High,High,High
8.984623213,11,0.917506821,16.99288135,2,237.3613273,2.224762086,42.69366364,31.48642632,42.69366364,Medium,Medium,Medium
5.010930181,17,0.063540321,22.4434137,5,189.2632967,3.778582565,41.76982576,50.10035414,41.76982576,Medium,High,Medium
6.203718127,21,-0.522277209,21.14055304,6,226.4076668,3.738163573,44.45948416,43.47799789,43.77368979,Medium,Medium,Medium
7.550540102,12,0.294463879,3.023397793,3,194.8683945,2.439826017,43.78985806,48.13321288,43.78985806,Medium,High,Medium
3.715009247,12,0.752383133,2.308404952,7,201.4868776,4.47904845,37.95465015,64.6562667,37.95465015,Medium,High,Medium
11.35250671,14,0.70297342,18.14849499,4,213.707427,4.847827217,45.66482707,62.56375589,45.66482707,High,High,High
9.265151817,17,0.486324306,27.06788898,7,219.7475313,1.829248237,47.79142638,42.76269546,43.72827378,High,Medium,Medium
2.883078468,19,-0.913066612,19.58599845,4,201.1051186,1.076664989,34.85255471,25.01688069,33.68262126,Medium,Low,Medium
12.83742483,18,-0.123086665,6.41929567,5,209.4401899,2.370032974,48.33601186,47.85283156,47.73171616,High,High,High
6.665630315,17,-0.663252838,7.401630557,7,217.2998396,4.473768507,45.32957204,39.01815651,42.06590547,High,Medium,Medium
5.895115716,16,-0.163975813,20.26066256,5,180.328043,2.905349478,43.82710897,49.35455797,43.82710897,Medium,High,Medium
13.08185681,21,-0.270605147,26.76305522,7,203.8574843,4.582693883,49.50803966,48.26935502,48.35930379,High,High,High
8.784528138,14,0.650340778,6.096027214,3,188.4369748,1.909329096,45.66482707,41.15985201,43.73612205,High,Medium,Medium
10.38577887,14,0.068756688,23.09932303,6,250.3660037,2.213328441,45.66482707,46.8657185,45.66482707,High,High,High
7.830186506,12,0.80982383,14.63986085,7,217.5990131,3.718728489,43.78985806,59.78849652,43.78985806,Medium,High,Medium
8.983078581,23,-0.656673892,23.47311453,14,179.3739849,4.818475828,48.5031799,39.26434324,43.0779438,High,Medium,Medium
3.464504003,16,0.769135991,5.979510812,9,218.2161627,4.407610795,37.08280055,64.92087503,37.08280055,Medium,High,Medium
11.70756667,17,-0.244315313,26.16671693,8,196.7138808,3.371403042,47.79142638,48.58584735,47.79142638,High,High,High
5.86060965,10,0.772562825,18.23432056,4,200.5977137,4.500936623,41.47760831,65.577335,41.47760831,Medium,High,Medium
4.827104274,15,-0.03651822,10.89318375,10,218.4189848,3.146386088,41.29137504,49.96565285,41.29137504,Medium,High,Medium
17.06269664,18,0.679979486,21.13359862,5,190.1807747,3.69734122,48.12713992,54.80888396,48.12713992,High,High,High
11.37927076,14,-0.222541923,20.49248775,4,192.9113525,1.143486963,45.66482707,41.40908872,40.32569959,High,Medium,Medium
6.354097787,15,-0.605026416,6.582532002,1,183.3630001,2.448208333,44.75192261,41.05696275,42.60490092,Medium,Medium,Medium
10.85578738,17,0.513121992,0.070351023,3,229.0404936,2.519083424,47.79142638,48.26309206,47.79142638,High,High,High
9.945431779,15,0.587559492,1.505679008,5,191.0102704,4.071727071,46.45954467,57.52624802,46.45954467,High,High,High
11.46243274,18,-0.513798885,28.82379683,4,189.4289376,2.17011069,48.33601186,43.69796915,44.85154192,High,Medium,Medium
8.871460809,12,-0.087297062,15.62694055,3,165.1203346,2.156913503,43.78985806,46.46828185,43.78985806,Medium,High,Medium
3.877332717,11,-0.316510846,13.19895894,5,204.1212286,1.558736541,38.49396275,42.21532431,37.97385133,Medium,Medium,Medium
8.535822095,18,0.159683107,10.39577427,7,179.9902241,2.675371323,48.03346585,49.36836304,48.03346585,High,High,High
13.67614028,11,0.576967506,26.26711465,10,194.7496377,1.06646435,42.69366364,38.57675423,38.97648139,Medium,Medium,Medium
5.789873625,13,-0.366483393,20.10932106,6,199.4039246,1.880911305,43.60248184,43.83648063,42.90024575,Medium,Medium,Medium
16.93996489,15,-0.243746413,26.93964985,5,232.5219573,2.657910416,46.38483507,48.59245688,46.38483507,High,High,High
4.762305046,10,0.579200791,5.966257642,5,187.930813,2.737607089,41.11813089,49.38554932,41.11813089,Medium,High,Medium
9.598426254,15,-0.969869487,19.28497458,9,198.3377763,3.01461408,46.45954467,19.95864006,40.54378318,High,Low,Medium
5.157817155,18,0.279838985,27.12988976,9,194.8301593,2.572115857,42.13846469,48.87325632,42.13846469,Medium,High,Medium
10.24089003,13,0.418959749,16.62961564,5,211.2177104,3.770279938,44.77728608,53.59796966,44.77728608,Medium,High,Medium
8.956873484,15,-0.692541546,7.476810318,1,177.2215635,4.263643452,46.45954467,37.8681311,42.11729948,High,Medium,Medium
3.893228652,18,-0.158583525,7.684323792,6,205.8571996,1.962665303,38.54567122,44.9919906,38.54567122,Medium,Medium,Medium
7.990343374,8,0.567696489,10.83438251,4,160.5115131,3.119674851,38.62709366,50.12921595,38.62709366,Medium,High,Medium
